OA,UV4030001,UV4030002,UV4030003,UV4030004,UV4030005,UV4030006,UV4030007,UV4030008,UV4030009,UV4030010,UV4030011
S00143293,76,70.0,46.0,28.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0
S00143294,94,27.0,10.0,17.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0
S00143295,100,77.0,23.0,54.0,0.0,0.0,4.0,21.0,21.0,0.0,0.0
S00143296,92,17.0,10.0,6.0,0.0,0.0,23.0,52.0,37.0,15.0,0.0
S00143297,78,19.0,3.0,13.0,2.0,0.0,12.0,50.0,53.0,1.0,1.0
S00143298,229,0.0,0.0,0.0,0.0,0.0,2.0,226.0,218.0,8.0,0.0
S00143299,85,14.0,4.0,12.0,0.0,0.0,4.0,65.0,63.0,1.0,5.0
S00143300,91,59.0,20.0,42.0,0.0,2.0,0.0,27.0,27.0,0.0,2.0
S00143301,142,139.0,61.0,74.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
S00143302,93,18.0,14.0,8.0,0.0,0.0,6.0,65.0,65.0,0.0,0.0
S00143303,110,110.0,61.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S00143304,129,11.0,6.0,5.0,0.0,0.0,10.0,108.0,98.0,10.0,0.0
S00143305,80,11.0,6.0,6.0,0.0,0.0,3.0,62.0,62.0,0.0,3.0
S00143306,165,49.0,25.0,20.0,5.0,0.0,35.0,81.0,75.0,4.0,0.0
S00143307,108,41.0,25.0,14.0,1.0,0.0,32.0,33.0,29.0,4.0,2.0
S00143308,100,98.0,49.0,45.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
S00143309,121,109.0,45.0,64.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
S00143310,80,71.0,69.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,3.0
S00143311,109,18.0,7.0,14.0,0.0,0.0,8.0,83.0,83.0,0.0,0.0
S00143312,158,18.0,8.0,6.0,3.0,0.0,40.0,99.0,98.0,1.0,0.0
S00143313,93,54.0,11.0,36.0,3.0,4.0,9.0,30.0,28.0,2.0,0.0
S00143314,79,13.0,5.0,7.0,1.0,0.0,4.0,64.0,63.0,1.0,0.0
S00143315,98,84.0,46.0,38.0,0.0,0.0,4.0,7.0,7.0,0.0,3.0
S00143316,110,70.0,16.0,54.0,0.0,0.0,0.0,39.0,39.0,0.0,1.0
S00143317,115,109.0,33.0,79.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
S00143318,85,68.0,30.0,38.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0
S00143319,79,35.0,14.0,20.0,0.0,1.0,24.0,20.0,20.0,0.0,3.0
S00143320,80,19.0,9.0,10.0,0.0,0.0,62.0,0.0,0.0,0.0,1.0
S00143321,191,171.0,74.0,96.0,0.0,0.0,1.0,16.0,17.0,2.0,5.0
S00143322,117,32.0,16.0,12.0,4.0,0.0,31.0,50.0,52.0,1.0,2.0
S00143323,88,17.0,10.0,6.0,0.0,0.0,25.0,44.0,44.0,0.0,4.0
S00143324,193,188.0,77.0,111.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
S00143325,93,86.0,45.0,41.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0
S00143326,105,57.0,29.0,23.0,0.0,8.0,33.0,17.0,15.0,2.0,0.0
S00143327,88,82.0,47.0,35.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
S00143328,68,60.0,22.0,38.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0
S00143329,101,3.0,3.0,0.0,0.0,0.0,89.0,9.0,8.0,1.0,0.0
S00143330,73,19.0,4.0,15.0,0.0,0.0,34.0,17.0,17.0,0.0,3.0
S00143331,119,30.0,8.0,22.0,0.0,0.0,0.0,87.0,87.0,0.0,2.0
S00143332,136,40.0,21.0,18.0,0.0,1.0,1.0,99.0,99.0,0.0,0.0
S00143333,126,3.0,0.0,3.0,0.0,0.0,17.0,106.0,90.0,16.0,0.0
S00143334,80,50.0,13.0,41.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
S00143335,117,38.0,26.0,8.0,0.0,4.0,9.0,70.0,69.0,0.0,0.0
S00143336,111,101.0,65.0,36.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
S00143337,121,25.0,7.0,20.0,0.0,0.0,7.0,82.0,80.0,2.0,10.0
S00143338,108,63.0,34.0,27.0,1.0,0.0,0.0,43.0,43.0,0.0,5.0
S00143339,143,19.0,11.0,8.0,0.0,0.0,0.0,120.0,120.0,0.0,4.0
S00143340,112,112.0,44.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S00143341,111,48.0,20.0,28.0,0.0,0.0,6.0,54.0,54.0,0.0,0.0
S00143342,170,163.0,87.0,74.0,2.0,0.0,0.0,4.0,4.0,0.0,3.0
S00143343,115,63.0,34.0,29.0,0.0,0.0,43.0,12.0,11.0,1.0,1.0
S00143344,116,107.0,62.0,45.0,0.0,0.0,0.0,7.0,3.0,4.0,2.0
S00143345,125,8.0,4.0,1.0,0.0,0.0,31.0,85.0,67.0,19.0,0.0
S00143346,99,0.0,0.0,0.0,0.0,0.0,7.0,87.0,83.0,2.0,0.0
S00143347,133,132.0,57.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S00143348,126,123.0,48.0,73.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0
S00143349,113,21.0,4.0,16.0,1.0,0.0,51.0,41.0,38.0,2.0,0.0
S00143350,104,26.0,14.0,12.0,0.0,0.0,8.0,70.0,68.0,4.0,0.0
S00143351,78,45.0,16.0,32.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0
S00143352,179,160.0,95.0,65.0,0.0,0.0,3.0,16.0,16.0,0.0,0.0
S00143353,89,88.0,41.0,47.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
S00143354,76,34.0,9.0,25.0,0.0,0.0,5.0,37.0,37.0,0.0,0.0
S00143355,87,42.0,17.0,24.0,0.0,0.0,11.0,29.0,29.0,0.0,4.0
S00143356,108,101.0,40.0,61.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
S00143357,95,70.0,28.0,40.0,0.0,2.0,14.0,11.0,11.0,0.0,0.0
S00143358,89,78.0,33.0,45.0,0.0,0.0,0.0,8.0,8.0,0.0,3.0
S00143359,99,93.0,52.0,43.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
S00143360,81,67.0,35.0,32.0,0.0,0.0,2.0,13.0,13.0,0.0,0.0
S00143361,183,170.0,73.0,97.0,0.0,0.0,6.0,5.0,5.0,0.0,3.0
S00143362,67,65.0,27.0,38.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
S00143363,69,67.0,56.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
