OA,UV6040001,UV6040002,UV6040003,UV6040004,UV6040005
S00135719,60.0,3.0,13.0,36.0,9.0
S00135720,92.0,5.0,18.0,59.0,12.0
S00135721,89.0,10.0,20.0,49.0,10.0
S00135722,33.0,6.0,8.0,14.0,5.0
S00135723,24.0,3.0,9.0,14.0,1.0
S00135724,35.0,3.0,6.0,26.0,5.0
S00135725,40.0,3.0,11.0,23.0,5.0
S00135726,75.0,8.0,23.0,42.0,4.0
S00135727,73.0,13.0,16.0,37.0,7.0
S00135728,47.0,3.0,5.0,30.0,5.0
S00135729,33.0,1.0,10.0,18.0,0.0
S00135730,53.0,5.0,5.0,41.0,2.0
S00135731,46.0,5.0,9.0,33.0,1.0
S00135732,57.0,6.0,9.0,35.0,3.0
S00135733,36.0,5.0,4.0,26.0,1.0
S00135734,68.0,17.0,23.0,25.0,4.0
S00135735,55.0,5.0,11.0,25.0,10.0
S00135736,32.0,4.0,8.0,19.0,1.0
S00135737,52.0,5.0,12.0,29.0,8.0
S00135738,80.0,7.0,11.0,56.0,6.0
S00135739,48.0,5.0,13.0,28.0,6.0
S00135740,45.0,2.0,9.0,30.0,4.0
S00135741,33.0,2.0,2.0,19.0,3.0
S00135742,46.0,3.0,7.0,33.0,4.0
S00135743,37.0,5.0,6.0,20.0,6.0
S00135744,46.0,3.0,5.0,31.0,5.0
S00135745,66.0,3.0,20.0,33.0,7.0
S00135746,31.0,0.0,10.0,19.0,2.0
S00135747,47.0,3.0,10.0,29.0,6.0
S00135748,64.0,3.0,21.0,34.0,10.0
S00135749,34.0,0.0,5.0,24.0,6.0
S00135750,62.0,12.0,11.0,34.0,5.0
S00135751,47.0,2.0,13.0,27.0,5.0
S00135752,50.0,3.0,19.0,30.0,2.0
S00135753,50.0,5.0,21.0,25.0,3.0
S00135754,37.0,4.0,8.0,23.0,2.0
S00135755,71.0,5.0,20.0,42.0,7.0
S00135756,43.0,1.0,14.0,28.0,6.0
S00135757,48.0,1.0,10.0,31.0,6.0
S00135758,27.0,9.0,7.0,11.0,0.0
S00135759,32.0,7.0,12.0,13.0,1.0
S00135760,34.0,2.0,10.0,19.0,4.0
S00135761,46.0,2.0,11.0,30.0,4.0
S00135762,56.0,8.0,15.0,33.0,4.0
S00135763,40.0,2.0,10.0,24.0,4.0
S00135764,48.0,5.0,14.0,24.0,4.0
S00135765,78.0,9.0,15.0,49.0,5.0
S00135766,51.0,7.0,11.0,28.0,4.0
S00135767,57.0,6.0,20.0,31.0,4.0
S00135768,78.0,10.0,16.0,49.0,5.0
S00135769,71.0,9.0,13.0,44.0,5.0
S00135770,51.0,4.0,11.0,34.0,2.0
S00135771,47.0,6.0,14.0,19.0,5.0
S00135772,89.0,3.0,18.0,60.0,6.0
S00135773,76.0,8.0,16.0,49.0,1.0
S00135774,36.0,3.0,8.0,26.0,2.0
S00135775,86.0,5.0,27.0,44.0,6.0
S00135776,52.0,6.0,6.0,39.0,2.0
S00135777,49.0,3.0,15.0,25.0,1.0
S00135778,32.0,3.0,8.0,19.0,1.0
S00135779,56.0,2.0,7.0,36.0,8.0
S00135780,54.0,7.0,6.0,35.0,7.0
S00135781,63.0,5.0,21.0,29.0,7.0
S00135782,49.0,2.0,7.0,36.0,5.0
S00135783,78.0,6.0,15.0,52.0,5.0
S00135784,42.0,2.0,17.0,22.0,0.0
S00135785,33.0,6.0,8.0,14.0,3.0
S00135786,65.0,4.0,10.0,45.0,3.0
S00135787,31.0,3.0,10.0,16.0,2.0
S00135788,55.0,9.0,17.0,26.0,3.0
S00135789,43.0,3.0,8.0,26.0,5.0
S00135790,59.0,2.0,14.0,38.0,5.0
S00135791,85.0,4.0,22.0,48.0,11.0
S00135792,39.0,6.0,10.0,16.0,9.0
S00135793,57.0,12.0,15.0,33.0,3.0
S00135794,87.0,7.0,19.0,52.0,10.0
S00135795,51.0,4.0,12.0,25.0,7.0
S00135796,51.0,6.0,12.0,33.0,2.0
S00135797,94.0,23.0,21.0,40.0,10.0
