OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00135530,73,22.0,40.0,2.0,5.0,4.0
S00135531,86,28.0,39.0,7.0,5.0,6.0
S00135532,77,30.0,45.0,0.0,2.0,2.0
S00135533,110,41.0,51.0,3.0,12.0,5.0
S00135534,97,32.0,51.0,2.0,8.0,4.0
S00135535,194,42.0,87.0,0.0,10.0,56.0
S00135536,124,50.0,62.0,4.0,9.0,1.0
S00135537,129,26.0,89.0,0.0,7.0,7.0
S00135538,81,18.0,42.0,1.0,9.0,11.0
S00135539,72,24.0,20.0,1.0,10.0,17.0
S00135540,124,30.0,72.0,0.0,6.0,16.0
S00135541,73,18.0,36.0,2.0,13.0,5.0
S00135542,124,71.0,44.0,6.0,5.0,1.0
S00135543,131,73.0,51.0,0.0,7.0,0.0
S00135544,83,27.0,31.0,6.0,9.0,10.0
S00135545,125,53.0,58.0,3.0,6.0,4.0
S00135546,76,23.0,26.0,2.0,15.0,10.0
S00135547,146,43.0,78.0,4.0,13.0,8.0
S00135548,71,25.0,21.0,3.0,10.0,12.0
S00135549,55,15.0,22.0,0.0,11.0,4.0
S00135550,98,47.0,17.0,9.0,16.0,12.0
S00135551,104,44.0,50.0,0.0,6.0,4.0
S00135552,104,75.0,19.0,3.0,5.0,2.0
S00135553,175,42.0,115.0,2.0,7.0,7.0
S00135554,72,23.0,28.0,2.0,10.0,7.0
S00135555,142,29.0,94.0,2.0,12.0,6.0
S00135556,98,57.0,22.0,5.0,7.0,7.0
S00135557,74,17.0,44.0,2.0,5.0,6.0
S00135558,124,46.0,59.0,1.0,8.0,6.0
S00135559,95,45.0,34.0,5.0,8.0,3.0
S00135560,91,35.0,30.0,5.0,11.0,12.0
S00135561,73,34.0,24.0,3.0,7.0,8.0
S00135562,78,32.0,30.0,4.0,8.0,5.0
S00135563,44,25.0,6.0,4.0,7.0,0.0
S00135564,94,15.0,62.0,1.0,1.0,12.0
S00135565,59,11.0,32.0,2.0,6.0,8.0
S00135566,87,30.0,42.0,2.0,2.0,8.0
S00135567,98,32.0,39.0,4.0,16.0,8.0
S00135568,136,53.0,51.0,2.0,14.0,16.0
S00135569,89,32.0,30.0,3.0,18.0,7.0
S00135570,102,20.0,64.0,0.0,5.0,12.0
S00135571,91,43.0,29.0,3.0,11.0,5.0
S00135572,103,33.0,60.0,3.0,4.0,7.0
S00135573,86,35.0,39.0,0.0,6.0,4.0
S00135574,69,16.0,28.0,5.0,7.0,13.0
S00135575,126,38.0,49.0,6.0,15.0,18.0
S00135576,111,48.0,41.0,2.0,14.0,6.0
S00135577,105,53.0,34.0,4.0,13.0,2.0
S00135578,101,30.0,50.0,4.0,7.0,11.0
S00135579,76,23.0,38.0,3.0,5.0,7.0
S00135580,122,52.0,31.0,1.0,29.0,8.0
S00135581,105,18.0,67.0,2.0,10.0,5.0
S00135582,77,43.0,27.0,1.0,3.0,3.0
S00135583,106,55.0,29.0,8.0,12.0,4.0
S00135584,97,44.0,28.0,8.0,11.0,7.0
S00135585,82,26.0,44.0,3.0,7.0,3.0
S00135586,95,30.0,49.0,5.0,7.0,10.0
S00135587,67,46.0,10.0,4.0,4.0,2.0
S00135588,82,36.0,37.0,1.0,5.0,4.0
S00135589,75,22.0,42.0,1.0,4.0,8.0
S00135590,62,24.0,36.0,0.0,0.0,0.0
S00135591,68,34.0,26.0,2.0,3.0,1.0
S00135592,81,38.0,34.0,1.0,8.0,0.0
S00135593,78,17.0,50.0,1.0,5.0,5.0
S00135594,85,21.0,54.0,1.0,7.0,3.0
S00135595,119,54.0,42.0,4.0,12.0,7.0
S00135596,185,69.0,60.0,0.0,12.0,44.0
S00135597,113,42.0,37.0,4.0,12.0,18.0
S00135598,79,20.0,49.0,3.0,4.0,6.0
S00135599,110,62.0,29.0,4.0,13.0,0.0
S00135600,59,13.0,18.0,0.0,4.0,26.0
S00135601,96,43.0,52.0,3.0,0.0,0.0
S00135602,115,69.0,26.0,3.0,11.0,5.0
S00135603,69,15.0,48.0,0.0,1.0,5.0
S00135604,74,58.0,10.0,3.0,7.0,2.0
S00135605,72,37.0,19.0,2.0,10.0,1.0
S00135606,216,42.0,115.0,3.0,8.0,51.0
S00135607,1706,1631.0,47.0,12.0,12.0,4.0
S00135608,79,35.0,39.0,1.0,3.0,2.0
S00135609,91,27.0,50.0,4.0,2.0,10.0
S00135610,150,46.0,35.0,7.0,18.0,46.0
S00135611,74,48.0,18.0,3.0,5.0,3.0
S00135612,122,63.0,44.0,4.0,8.0,1.0
